cluster_id,n_papers,label,top_keywords,suggested_lcc_subclass,suggested_lcc_division,suggestion_confidence,suggestion_agreement,lcc_subclass,lcc_division,skip,notes
26,420,meteorites | surface | chondrites,meteorites | surface | chondrites | mars | impact | lunar | meteorite | samples | high | rich | chondrite | martian,QB,QB592,0.910,88.1%,QB,QB755,,
27,240,organic | metal | mof,organic | metal | mof | framework | mofs | metal organic | materials | frameworks | adsorption | synthesis | properties | organic frameworks,QD,QD701,0.742,90.0%,QD,QD411,,
28,1596,field | magnetic | solar,field | magnetic | solar | plasma | observed | region | electron | wind | magnetic field | observations | time | model,QB,QB529,0.942,66.8%,QB,QB520,,
29,2144,plasma | field | electron,plasma | field | electron | ion | magnetic | density | energy | laser | current | beam | discharge | high,QC,QC791,0.914,91.2%,QC,QC718,,changed: plasma physics not particle physics
30,256,ghrelin | food | leptin,ghrelin | food | leptin | intake | food intake | energy | rats | receptor | gh | levels | hypothalamic | expression,RC,RC660,0.935,96.9%,QP,QP141,,
31,936,detection | membrane | sensor,detection | membrane | sensor | membranes | electrode | water | high | 10 | dna | developed | concentration | surface,QD,QD571,0.819,76.7%,QD,QD79.E44,,
32,391,quantum | classical | states,quantum | classical | states | time | systems | state | dynamics | space | model | theory | information | function,QA,QA76.87,0.824,32.2%,QC,QC174.12,,changed: quantum computing/information — not ML/neural nets
33,1125,space | group | prove,space | group | prove | spaces | functions | let | theorem | function | complex | type | theory | groups,QA,QA76.87,0.953,99.0%,QA,QA300,,changed: pure mathematics (group theory/algebra) — QA76.87 is ML
34,328,solutions | equation | equations,solutions | equation | equations | nonlinear | solution | problem | existence | differential | time | boundary | type | order,QA,QA76.87,0.808,72.6%,QA,QA372,,changed: differential equations/PDEs — QA76.87 is ML
35,360,resist | lithography | pattern,resist | lithography | pattern | nm | high | beam | mask | exposure | patterns | electron | process | resolution,TK,TK7874,0.953,92.2%,TK,TK7874,,
36,743,protein | proteins | structure,protein | proteins | structure | folding | binding | structures | structural | model | molecular | interactions | membrane | state,QH,QH506,0.940,84.1%,QP,QP551,,
37,881,platelet | factor | patients,platelet | factor | patients | plasma | activity | platelets | blood | thrombin | protein | coagulation | induced | aggregation,RC,RC660,0.796,84.7%,RC,RC647.C55,,changed: blood coagulation/platelet disorders
38,241,energy | electron | surface,energy | electron | surface | ray | scattering | crystal | ion | electrons | diffraction | intensity | depth | angle,TK,TK7874,0.836,49.8%,QC,QC176.8.S8,,low agreement — could be QC176 (surface physics)
39,568,nanoparticles | delivery | cells,nanoparticles | delivery | cells | drug | cancer | imaging | tumor | cell | therapy | dna | vivo | potential,RM,RM147,0.844,38.4%,RS,RS201.N35,,
40,237,field | wave | scattering,field | wave | scattering | surface | numerical | boundary | equation | finite | time | waves | electromagnetic | fields,QC,QC225,0.896,73.8%,QC,QC665,,changed: computational electromagnetics not acoustics
41,269,surface | si | 111,surface | si | 111 | desorption | energy | adsorption | hydrogen | temperature | surfaces | atoms | reaction | coverage,TK,TK7874,0.884,61.7%,QD,QD506,,
42,274,ray | electron | energy,ray | electron | energy | resolution | beam | high | laser | surface | field | time | radiation | imaging,RC,RC78,0.914,45.3%,QC,QC482,,low agreement — could be QC instrumentation
43,734,solar | perovskite | cells,solar | perovskite | cells | solar cells | efficiency | high | organic | performance | photovoltaic | conversion | perovskite solar | charge,TK,TK2960,0.945,96.7%,TK,TK2960,,
44,432,carbon | nanotubes | graphene,carbon | nanotubes | graphene | carbon nanotubes | nanotube | single | field | high | swnts | properties | electron | cnts,TN,TN693,0.899,48.1%,TA,TA418.9.N35,,changed: carbon nanotube/graphene electronics — TN693 is non-ferrous metals (wrong)
45,674,organic | high | layer,organic | high | layer | light | emitting | efficiency | charge | transport | devices | field | electron | molecular,TK,TK7872,0.886,92.1%,TK,TK7871.15.O74,,
46,274,eu | emission | nm,eu | emission | nm | luminescence | excitation | ions | energy | doped | absorption | phosphor | phosphors | temperature,TK,TK7872,0.798,86.1%,QC,QC476.7,,
47,263,diamond | films | emission,diamond | films | emission | deposition | field | film | carbon | substrate | electron | growth | high | plasma,TK,TK7874,0.912,92.4%,TK,TK7874,,
48,447,zno | films | temperature,zno | films | temperature | grown | emission | zn | growth | film | band | znse | high | observed,TK,TK7874,0.919,94.0%,TK,TK7871.15,,
49,997,films | temperature | dielectric,films | temperature | dielectric | ferroelectric | phase | film | properties | ceramics | high | piezoelectric | field | polarization,TK,TK7872,0.924,97.8%,TK,TK7872.D5,,
50,955,high | li | batteries,high | li | batteries | ion | lithium | performance | energy | materials | electrode | carbon | electrochemical | capacity,QD,QD571,0.984,98.2%,TK,TK2945,,
51,291,solar | cells | solar cells,solar | cells | solar cells | cell | efficiency | si | layer | silicon | solar cell | high | film | circuit,TK,TK2960,0.970,100.0%,TK,TK2960,,
52,4807,si | high | temperature,si | high | temperature | gaas | optical | growth | layer | surface | grown | electron | low | current,TK,TK7874,0.946,97.0%,TK,TK7871.85,,
53,235,thermoelectric | conductivity | thermal,thermoelectric | conductivity | thermal | temperature | te | thermal conductivity | properties | power | materials | type | high | electrical,TK,TK7872,0.831,90.2%,TK,TK2950,,
54,242,supramolecular | self | assembly,supramolecular | self | assembly | chiral | helical | self assembly | molecular | interactions | polymers | structure | structures | chirality,QD,QD381,0.900,92.6%,QD,QD878,,changed: supramolecular/stereochemistry — QD381 is polymers
55,10380,reaction | acid | synthesis,reaction | acid | synthesis | compounds | reactions | catalyst | high | derivatives | methyl | synthesized | complexes | prepared,QD,QD476,0.946,96.1%,QD,QD262,,
56,339,liquid | theory | temperature,liquid | theory | temperature | model | water | equation | density | phase | systems | function | pressure | energy,QD,QD415,0.808,67.0%,QD,QD541,,
57,2275,energy | state | spectra,energy | state | spectra | electron | states | calculations | molecular | molecules | observed | potential | obtained | hydrogen,QD,QD415,0.947,97.7%,QD,QD461,,
58,1742,cells | cell | sperm,cells | cell | sperm | expression | development | oocytes | embryos | protein | levels | vitro | mice | gene,QH,QH471,0.930,57.9%,QP,QP255,,
59,364,release | hydrogels | drug,release | hydrogels | drug | hydrogel | water | dissolution | properties | prepared | rate | gel | cell | acid,RM,RM147,0.984,46.4%,RS,RS201.H93,,
60,629,temperature | crystallization | properties,temperature | crystallization | properties | polymer | blends | poly | molecular | mechanical | phase | high | chain | structure,QD,QD381,0.969,83.3%,QD,QD381,,
61,814,polymerization | polymers | poly,polymerization | polymers | poly | polymer | reaction | monomer | molecular | chain | radical | weight | high | copolymers,QD,QD381,0.895,99.1%,QD,QD381,,
62,789,ad | aβ | disease,ad | aβ | disease | amyloid | protein | alzheimer | pd | alzheimer disease | brain | tau | mice | neurons,RC,RC523,0.940,94.6%,RC,RC523,,
63,225,als | disease | protein,als | disease | protein | neurons | motor | proteins | mutant | sod1 | cells | lateral | 43 | amyotrophic,RC,RC523,0.903,85.3%,RC,RC406.A24,,changed: ALS not Alzheimer's disease
64,273,cells | cell | imaging,cells | cell | imaging | fluorescence | microscopy | single | fluorescent | protein | light | resolution | cellular | time,QH,QH506,0.809,45.1%,QH,QH212.F55,,
65,2927,earthquake | fault | seismic,earthquake | fault | seismic | model | mantle | high | km | earthquakes | zone | time | rocks | field,QC,QC809,0.935,63.8%,QE,QE539,,changed: seismology (QE531) not geophysics instrumentation (QC809)
66,736,ms | mass | acid,ms | mass | acid | determination | samples | detection | chromatography | spectrometry | mass spectrometry | high | sample | liquid,QD,QD79,0.933,85.2%,QD,QD79.C45,,
67,573,oil | acid | fatty,oil | acid | fatty | activity | antioxidant | acids | oils | compounds | content | reaction | high | oxidation,QD,QD415,0.855,50.3%,QD,QD415,,
68,350,activity | new | compounds,activity | new | compounds | antibiotic | isolated | acid | antibacterial | streptomyces | structure | derivatives | antibiotics | strain,QD,QD476,0.890,56.3%,QR,QR175,,
69,985,isolated | new | structures,isolated | new | structures | compounds | chemical | acid | spectroscopic | known | structure | elucidated | basis | determined,QD,QD415,0.963,95.5%,QD,QD241,,changed: natural product isolation/structure elucidation
70,242,cells | cell | hematopoietic,cells | cell | hematopoietic | erythroid | stem | expression | hscs | marrow | differentiation | bone | epo | bone marrow,RC,RC660,0.826,34.3%,QP,QP92,,changed: hematopoiesis/blood disorders
71,513,actin | cell | cells,actin | cell | cells | myosin | protein | binding | proteins | filaments | activity | complex | muscle | membrane,QH,QH634,0.924,92.2%,QH,QH603.C95,,
72,446,membrane | protein | proteins,membrane | protein | proteins | golgi | cells | cell | er | complex | transport | plasma | clathrin | plasma membrane,QH,QH634,0.942,91.3%,QH,QH601,,
73,254,virus | rna | plants,virus | rna | plants | protein | plant | infection | gene | viruses | infected | viral | mosaic | resistance,QK,QK495,0.953,47.6%,QR,QR351,,
74,363,patients | dialysis | ckd,patients | dialysis | ckd | disease | risk | hemodialysis | kidney | renal | associated | mortality | serum | hd,RC,RC685,0.877,95.6%,RC,RC902,,
75,275,chromosome | species | chromosomes,chromosome | species | chromosomes | sex | number | genetic | gene | genes | populations | male | karyotype | different,QL,QL112,0.937,71.6%,QH,QH600,,changed: cytogenetics/chromosome biology not zoology
76,224,population | selection | genetic,population | selection | genetic | model | populations | number | evolution | rate | studies | genome | recombination | size,QL,QL112,0.904,49.6%,QH,QH455,,changed: population genetics/evolutionary biology not zoology
77,427,gene | genes | genome,gene | genes | genome | available | sequencing | expression | information | sequence | supplementary | sequences | high | biological,QH,QH450,0.777,61.8%,QH,QH447,,
78,312,light | protein | electron,light | protein | electron | ii | photosystem | chlorophyll | photosynthetic | reaction | psii | complex | state | membrane,QK,QK495,0.957,59.9%,QK,QK882,,
79,780,cardiac | heart | cells,cardiac | heart | cells | myocardial | cell | expression | mice | reperfusion | induced | increased | function | ischemia,RC,RC660,0.879,96.0%,RC,RC685.C6,,changed: ischemic heart disease not metabolic
80,1482,patients | cell | cells,patients | cell | cells | leukemia | survival | treatment | aml | disease | lymphoma | acute | expression | therapy,RC,RC643,0.930,92.0%,RC,RC643,,
81,2758,insulin | glucose | diabetes,insulin | glucose | diabetes | type | cells | diabetic | mice | increased | patients | levels | cell | expression,RC,RC660,0.965,94.6%,RC,RC660,,
82,5053,plants | plant | growth,plants | plant | growth | species | genes | gene | leaf | root | expression | rice | high | development,QK,QK495,0.995,92.5%,QK,QK710,,
83,321,exercise | pressure | min,exercise | pressure | min | rate | blood | heart | heart rate | subjects | arterial | muscle | increased | control,RC,RC685,0.982,97.8%,QP,QP301,,
84,1111,cholesterol | ldl | hdl,cholesterol | ldl | hdl | lipoprotein | cells | patients | levels | atherosclerosis | serum | density | low | lipid,RC,RC660,0.945,98.6%,RC,RC632.H87,,
85,230,risk | patients | carotid,risk | patients | carotid | coronary | cardiovascular | age | plaque | disease | factors | atherosclerosis | artery | arterial,RC,RC685,0.935,99.6%,RC,RC692,,
86,247,neural | network | learning,neural | network | learning | networks | model | neural networks | neural network | neuron | function | neurons | memory | computing,QA,QA76.87,0.940,78.1%,QA,QA76.87,,
87,384,human | early | modern,human | early | modern | species | humans | populations | evidence | years | size | present | bones | dental,QL,QL112,0.967,72.9%,GN,GN50,,changed: physical anthropology/paleoanthropology not zoology
88,1697,species | new | described,species | new | described | genus | sp | new species | japan | nov | genera | sp nov | specimens | group,QL,QL112,0.996,96.8%,QL,QL351,,
89,4385,species | size | females,species | size | females | population | forest | different | fish | high | growth | males | time | effects,QL,QL112,0.993,89.1%,QH,QH540,,
90,422,soil | soils | organic,soil | soils | organic | nitrogen | increased | carbon | water | fertilizer | ha | total | kg | microbial,QK,QK495,0.979,85.5%,S,S592,,changed: soil science/agronomy not plant physiology
91,241,cells | cell | glioma,cells | cell | glioma | tumor | gbm | expression | glioblastoma | patients | tumors | gliomas | brain | cancer,RC,RC254,0.855,97.9%,RC,RC280.B7,,
92,877,strain | bacteria | gene,strain | bacteria | gene | anaerobic | species | rrna | 16s | bacterial | strains | sp | 16s rrna | dna,QH,QH301,0.911,91.8%,QR,QR82,,
93,1957,enzyme | activity | acid,enzyme | activity | acid | ph | purified | amino | substrate | protein | enzymes | glucose | molecular | showed,QH,QH506,0.983,96.8%,QP,QP601,,
94,437,ra | patients | arthritis,ra | patients | arthritis | cells | disease | il | rheumatoid | synovial | rheumatoid arthritis | treatment | activity | expression,RC,RC924,0.929,82.6%,RC,RC933,,
95,525,tumor | cells | cell,tumor | cells | cell | cancer | immune | patients | specific | tumors | pd | melanoma | anti | response,RC,RC268,0.908,86.5%,QR,QR188.6,,
96,3677,virus | cells | infection,virus | cells | infection | viral | hiv | cell | protein | human | infected | viruses | patients | influenza,RC,RC607,0.930,92.4%,QR,QR355,,
97,1300,asthma | patients | allergic,asthma | patients | allergic | cells | ige | il | skin | children | allergen | allergy | specific | induced,RC,RC591,0.847,87.6%,RC,RC591,,
98,881,ca | channel | channels,ca | channel | channels | cells | ca2 | current | membrane | cell | muscle | voltage | induced | calcium,QP,QP363,0.959,75.3%,QP,QP535.C2,,
99,792,ii | rats | blood,ii | rats | blood | pressure | angiotensin | hypertension | ang | blood pressure | induced | increased | renal | ang ii,RC,RC685,0.964,97.1%,RC,RC685.H8,,
100,661,patients | artery | aneurysm,patients | artery | aneurysm | aneurysms | treatment | cerebral | cases | case | hemorrhage | sah | carotid | patient,RD,RD598,0.937,73.7%,RD,RD594.2,,
101,456,patients | stent | artery,patients | stent | artery | coronary | aortic | group | treatment | follow | aneurysm | restenosis | clinical | stents,RC,RC685,0.969,61.2%,RC,RC685.C58,,
102,544,carbon | water | phytoplankton,carbon | water | phytoplankton | ocean | organic | surface | production | model | sea | concentrations | ecosystem | high,QL,QL112,0.921,45.0%,QH,QH541.5.S3,,changed: marine ecology/ocean biogeochemistry not zoology
103,294,combustion | flame | fuel,combustion | flame | fuel | temperature | ignition | engine | gas | pressure | air | model | injection | heat,TJ,TJ790,0.972,97.3%,TJ,TJ759,,
104,833,patients | ventricular | atrial,patients | ventricular | atrial | ablation | af | left | pacing | fibrillation | right | group | tachycardia | cardiac,RC,RC685,0.980,99.4%,RC,RC685.A65,,
105,555,patients | left | ventricular,patients | left | ventricular | valve | aortic | myocardial | left ventricular | pressure | lv | mitral | heart | coronary,RC,RC685,0.996,99.8%,RC,RC685.V2,,
106,581,spindle | microtubule | cells,spindle | microtubule | cells | microtubules | cell | protein | tubulin | mitotic | proteins | chromosome | complex | mitosis,QH,QH450,0.906,94.8%,QH,QH605,,
107,378,il | lps | cells,il | lps | cells | expression | macrophages | activation | induced | inflammatory | production | cell | tnf | protein,QR,QR185,0.872,77.2%,QR,QR185.8.I54,,
108,1278,cells | cell | il,cells | cell | il | expression | mice | cd4 | activation | immune | receptor | antigen | specific | responses,QR,QR185,0.979,89.4%,QR,QR185.8.T2,,
109,498,rna | protein | mrna,rna | protein | mrna | trna | gene | binding | proteins | rnas | dna | translation | expression | cells,QH,QH450,0.890,94.0%,QH,QH450.2,,
110,321,dna | repair | cells,dna | repair | cells | replication | damage | protein | recombination | dna damage | telomere | cell | activity | strand,QH,QH450,0.948,91.3%,QH,QH467,,
111,256,bearing | film | contact,bearing | film | contact | surface | friction | load | lubrication | pressure | oil | bearings | journal | wear,TJ,TJ1075,0.898,69.5%,TJ,TJ1073,,
112,3253,flow | velocity | pressure,flow | velocity | pressure | model | number | heat | fluid | surface | experimental | numerical | transfer | liquid,TJ,TJ267,0.886,87.5%,TA,TA357,,
113,423,patients | endoscopic | cancer,patients | endoscopic | cancer | group | resection | surgery | laparoscopic | postoperative | complications | treatment | performed | surgical,RC,RC262,0.931,93.4%,RD,RD33.53,,
114,388,sediment | flow | river,sediment | flow | river | bed | model | channel | water | transport | erosion | sand | discharge | field,QC,QC993,0.787,38.9%,GB,GB1399.5,,low agreement — could be GB (fluvial geomorphology)
115,659,tumor | carcinoma | patients,tumor | carcinoma | patients | case | cases | cells | cell | diagnosis | tumors | year | malignant | old,RC,RC262,0.983,98.3%,RC,RC254,,
116,507,infection | disease | species,infection | disease | species | infected | positive | pcr | samples | antibodies | human | patients | dogs | test,RC,RC848,0.953,68.8%,RC,RC111,,
117,310,patients | hcc | survival,patients | hcc | survival | resection | liver | treatment | months | cancer | carcinoma | group | tumor | therapy,RC,RC262,0.940,100.0%,RC,RC280.L5,,
118,304,model | water | flood,model | water | flood | rainfall | river | runoff | basin | flow | models | hydrological | time | climate,QC,QC993,0.959,78.9%,GB,GB651,,
119,456,expression | cells | gene,expression | cells | gene | genes | development | cell | signaling | embryos | neural | expressed | formation | function,QH,QH491,0.943,91.9%,QH,QH491,,
120,285,tuberculosis | patients | der,tuberculosis | patients | der | tb | die | cases | infection | mycobacterium | positive | und | tuberculous | treatment,RC,RC848,0.932,34.0%,RC,RC311,,changed: tuberculosis — RC311 not parasitic RC848
121,1892,strains | isolates | resistance,strains | isolates | resistance | coli | gene | genes | resistant | type | strain | isolated | protein | bacteria,QH,QH301,0.949,96.3%,QR,QR177,,
122,1887,cancer | cells | expression,cancer | cells | expression | cell | tumor | patients | breast | breast cancer | growth | treatment | gene | survival,RC,RC254,0.963,99.2%,RC,RC280.B8,,
123,291,patients | cancer | survival,patients | cancer | survival | treatment | chemotherapy | months | mg | median | response | advanced | therapy | disease,RC,RC262,0.938,99.7%,RC,RC271.C5,,
124,818,iron | temperature | gas,iron | temperature | gas | slag | rate | reduction | furnace | reaction | coal | fe | process | phase,TN,TN706,0.920,88.1%,TN,TN713,,
125,336,cutting | tool | surface,cutting | tool | surface | machining | grinding | process | high | wear | speed | chip | force | wheel,TS,TS560,0.955,91.1%,TJ,TJ1185,,
126,275,brain | ischemia | ischemic,brain | ischemia | ischemic | stroke | cerebral | injury | induced | expression | mice | cell | neuronal | cells,RC,RC388,0.891,93.5%,RC,RC388.5,,
127,988,aerosol | model | ozone,aerosol | model | ozone | measurements | atmospheric | emissions | air | particles | concentrations | surface | global | dust,QC,QC975,0.939,86.0%,QC,QC882.8,,
128,634,soil | stress | tests,soil | stress | tests | model | shear | pressure | strain | ground | tunnel | sand | strength | test,TA,TA418,0.807,49.2%,TA,TA710,,
129,572,steel | concrete | strength,steel | concrete | strength | bridge | response | design | seismic | model | shear | structures | load | structural,TA,TA660,0.856,65.7%,TA,TA658.44,,
130,755,ice | sea | water,ice | sea | water | ocean | surface | model | temperature | climate | changes | sheet | ice sheet | glacier,QE,QE576,0.947,55.5%,GB,GB2403.2,,
131,1181,model | precipitation | surface,model | precipitation | surface | tropical | cloud | temperature | ocean | pacific | climate | rainfall | sea | variability,QC,QC993,0.971,99.3%,QC,QC874.5,,
132,1096,magnetic | films | spin,magnetic | films | spin | field | film | magnetization | temperature | layer | anisotropy | fe | properties | effect,TK,TK7872,0.946,96.3%,QC,QC754.2.M3,,
133,1095,magnetic | temperature | field,magnetic | temperature | field | spin | fe | phase | magnetization | properties | model | state | transition | alloys,TK,TK7872,0.959,62.8%,QC,QC753.2,,
134,1220,cu | superconducting | temperature,cu | superconducting | temperature | high | films | current | field | phase | magnetic | critical | ba | sr,TK,TK7872,0.984,97.7%,QC,QC611.98,,
135,586,corrosion | steel | surface,corrosion | steel | surface | potential | resistance | solution | alloy | alloys | high | hydrogen | rate | water,TN,TN752,0.920,90.1%,TA,TA462,,
136,2890,temperature | stress | high,temperature | stress | high | strength | steel | grain | strain | alloy | crack | phase | al | alloys,TN,TN693,0.919,62.5%,TN,TN690,,
137,328,patients | cervical | fusion,patients | cervical | fusion | spinal | surgery | surgical | spine | lumbar | posterior | group | years | cases,RC,RC927,0.794,75.9%,RD,RD768,,
138,1050,control | systems | model,control | systems | model | time | controller | design | linear | state | nonlinear | feedback | output | problem,QA,QA76.73,0.924,49.7%,TJ,TJ213,,changed: automatic control engineering — QA76.73 is programming languages
139,269,power | voltage | control,power | voltage | control | converter | current | dc | circuit | high | output | frequency | inverter | switching,TK,TK7874,0.796,74.7%,TK,TK7881.15,,
140,400,antenna | band | ghz,antenna | band | ghz | array | frequency | design | bandwidth | radiation | antennas | high | structure | gain,TK,TK7871,0.931,99.0%,TK,TK7871.6,,
141,309,power | circuit | voltage,power | circuit | voltage | frequency | low | amplifier | noise | cmos | high | output | current | input,TK,TK7874,0.903,99.4%,TK,TK7874.654,,
142,550,cells | cell | neurons,cells | cell | neurons | growth | expression | protein | axons | neuronal | development | myelin | axon | differentiation,QP,QP364,0.891,59.8%,QP,QP356.25,,
143,538,speech | model | recognition,speech | model | recognition | information | language | user | performance | word | propose | approach | models | algorithm,QA,QA76.9,0.902,58.9%,QA,QA76.9.N38,,
144,546,nurses | health | nursing,nurses | health | nursing | care | work | job | students | practice | medical | patient | stress | clinical,LB,LB1049,0.992,92.3%,RT,RT41,,
145,1345,patients | knee | group,patients | knee | group | joint | pain | years | hip | injury | muscle | mean | treatment | significantly,RC,RC927,0.933,79.8%,RD,RD701,,
146,247,scheme | key | security,scheme | key | security | schemes | secret | signature | secure | attack | attacks | new | propose | encryption,QA,QA268,0.976,95.5%,QA,QA76.9.A25,,
147,602,stroke | patients | motor,stroke | patients | motor | group | gait | balance | subjects | rehabilitation | walking | test | physical | participants,RC,RC927,0.837,75.2%,RM,RM930,,
148,684,image | images | model,image | images | model | object | algorithm | 3d | recognition | detection | propose | feature | features | camera,QA,QA76.9,0.940,97.8%,TA,TA1634,,
149,436,robot | control | motion,robot | control | motion | human | force | model | robots | design | walking | manipulator | joint | position,QA,QA76.9,0.897,47.9%,TJ,TJ211.35,,
150,453,problem | algorithm | graph,problem | algorithm | graph | time | problems | graphs | number | given | scheduling | solution | set | algorithms,QA,QA164,0.983,98.7%,QA,QA76.9.A43,,
151,1105,neurons | synaptic | cells,neurons | synaptic | cells | receptor | receptors | glutamate | activity | synapses | gaba | cell | cortex | dependent,QP,QP364,0.962,94.8%,QP,QP364.5,,
152,1049,receptor | induced | effects,receptor | induced | effects | mice | pain | neurons | receptors | treatment | effect | schizophrenia | rats | brain,QP,QP364,0.867,60.3%,QP,QP364.7,,
153,466,depression | mental | health,depression | mental | health | suicide | symptoms | mental health | social | factors | self | depressive | support | risk,RC,RC569,0.984,84.5%,RC,RC537,,
154,304,cancer | patients | care,cancer | patients | care | life | patient | family | treatment | health | support | quality | palliative | cancer patients,RC,RC569,0.891,89.8%,R,R726.8,,
155,1537,performance | network | scheme,performance | network | scheme | channel | networks | algorithm | time | systems | transmission | simulation | power | rate,TK,TK5103,0.937,96.7%,TK,TK5103.2,,
156,906,performance | time | systems,performance | time | systems | memory | algorithm | problem | model | design | new | number | high | power,QA,QA164,0.890,52.9%,QA,QA76.9.A73,,
157,1042,model | models | test,model | models | test | distribution | time | estimation | regression | approach | statistical | new | sample | parameters,HA,HA31,0.934,69.0%,QA,QA276,,
158,569,traffic | model | time,traffic | model | time | travel | road | vehicle | driving | models | network | use | vehicles | behavior,HD,HD2741,0.887,41.7%,HE,HE336.T7,,changed: road traffic/transportation engineering not industrial economics
